#{"t_start": 1763624523.470404, "env_id": "None"}
r,l,t
-4.4518485,32,112.669465
-4.827041,34,112.670464
-4.9463406,63,112.687995
-5.7360373,63,112.687995
-5.3982434,63,112.708677
-5.8203635,63,112.709679
-5.0677466,63,112.725678
-5.8254,63,112.725678
3.2447748,88,225.468841
1.4998803,91,225.470842
5.9088736,312,225.626336
-2.5608606,87,225.690829
9.255878,314,225.69483
18.101892,511,225.832398
8.154539,207,225.843398
32.27477,639,225.861505
223.44446,2627,342.318025
227.9642,2627,342.318025
428.84396,4382,343.713984
284.03928,3082,344.768263
712.229,7044,345.838403
1.11566
-4.3287964,58,1.117176
-5.858455,58,1.117176
-4.183617,58,1.117176
-4.341344,59,1.119282
-4.0682645,61,1.122283
-4.2361517,62,1.123286
-4.2157636,63,1.125282
-4.38754,63,1.125282
-5.6424,41,1.160584
-5.609172,46,1.164584
-4.260831,41,1.170195
-4.120922,45,1.170195
-4.1612725,48,1.171195
-4.275769,46,1.173195
-5.7461996,47,1.175195
-4.092695,49,1.175195
-4.653918,44,1.176194
-4.002596,45,1.178198
-5.820523,55,1.179239
-4.714539,47,1.179239
-5.8455887,56,1.179239
-5.136566,53,1.179239
-5.659844,47,1.183227
-4.1737857,55,1.187226
-5.163318,44,1.189227
-5.7446,48,1.189227
-4.3372383,60,1.190227
-5.7577996,49,1.190227
-5.6837997,43,1.192227
-5.712664,56,1.192227
-5.6818,43,1.195228
-5.864391,59,1.195228
-4.485476,51,1.198227
-4.831197,45,1.198227
-4.016464,53,1.203227
-5.7026834,60,1.203227
-4.308441,58,1.204226
-5.8186483,55,1.206227
-5.590678,51,1.206227
-4.3437138,61,1.220226
-3.9769197,50,1.255282
-5.686,43,1.255282
-5.296906,56,1.255282
-4.4470243,52,1.258285
-4.1551576,47,1.259283
-4.4396925,53,1.259283
-4.780019,41,1.261282
-5.6461997,41,1.262282
-4.209387,41,1.266283
-4.3215075,52,1.268004
-4.085446,55,1.269036
-4.138733,61,1.26954
-4.110061,53,1.269549
-5.7443833,58,1.271123
-4.366088,57,1.271123
-4.325838,59,1.27425
-4.240498,48,1.274758
-5.6988,44,1.274776
-4.905178,51,1.275935
-4.3811665,58,1.275935
-4.65439,53,1.277555
-5.1952195,50,1.283872
-4.158508,55,1.283872
-9.795282,63,1.28651
-5.713086,49,1.288061
-4.76942,49,1.28906
-5.105928,60,1.290061
-4.347151,56,1.290061
-5.553148,53,1.29506
-4.2491083,55,1.301086
-5.6057673,63,1.314092
-4.5372963,61,1.321102
-5.6415997,40,1.3221
-5.6705976,50,1.337101
-5.0028257,41,1.337101
-5.6598,41,1.337101
-5.0944834,43,1.340103
-5.4233866,48,1.34536
-5.2340455,51,1.346359
-4.421551,56,1.348363
-4.858542,44,1.35036
-4.363451,54,1.35036
-5.5494733,47,1.35136
-5.764347,49,1.354361
-4.318863,43,1.354361
-4.2396913,59,1.35636
-4.7617693,63,1.35936
-4.3426504,61,1.35936
-4.2997828,52,1.36036
-4.2471676,57,1.36036
-5.6717997,44,1.36236
-4.8494134,57,1.36236
-5.568112,44,1.36536
-4.1885405,50,1.36636
-4.1000996,58,1.368303
-4.1112857,57,1.368303
-5.1026936,51,1.370288
-4.29125,63,1.371292
-4.413553,51,1.373287
-4.386688,58,1.379373
-5.342717,55,1.379373
-5.227389,41,1.380372
-4.3287487,56,1.391492
-5.332307,44,1.392487
-5.6356,40,1.401496
-5.8043995,51,1.405152
-4.4392867,43,1.406679
-5.472193,41,1.412188
-5.2184963,47,1.414188
-5.6848,43,1.418189
-4.373256,42,1.418189
-4.390907,45,1.418189
-5.8526254,56,1.427196
-5.5243692,52,1.427196
-5.1104364,46,1.429196
-5.7356,47,1.433196
-5.6652393,43,1.433196
-5.15111,53,1.433196
-5.720384,47,1.438196
-5.705521,46,1.442204
-4.3166943,55,1.447204
-4.7888813,59,1.448204
-4.460145,44,1.448204
-4.381615,52,1.451204
-5.8961906,60,1.451204
-5.6886,44,1.451204
-5.8580155,56,1.453204
-5.833079,58,1.455204
-4.2342205,59,1.457205
-4.3246474,56,1.463204
-4.2691674,58,1.463204
-4.0650864,52,1.463204
-4.92241,57,1.467204
-4.2329516,60,1.468204
-5.7274594,49,1.473204
-4.3384743,57,1.483203
-4.1765094,48,1.484204
-5.634736,42,1.486206
-4.867979,55,1.490213
-4.3668957,45,1.490213
-5.7044,45,1.490213
-4.6105394,57,1.497213
-5.7717276,52,1.497213
-5.5672035,45,1.501214
-4.0662003,43,1.504213
-4.2367887,48,1.505213
-4.677691,45,1.510753
-4.4411077,61,1.512753
-4.2426896,52,1.517754
-5.6553965,44,1.518753
-5.6763997,43,1.518753
-5.0007753,45,1.522754
-5.561284,58,1.522754
